Country,Year,Value
AUT,2000,3.502
BEL,2000,7.009
CAN,2000,6.821
CHL,2000,10.481
CRI,2000,5.082
CZE,2000,8.764
DNK,2000,4.429
EST,2000,14.535
FIN,2000,9.732
FRA,2000,8.557
DEU,2000,7.748
GRC,2000,11.35
HUN,2000,6.401
ISL,2000,2.31
IRL,2000,4.885
ISR,2000,11.042
ITA,2000,10.518
JPN,2000,4.774
KOR,2000,4.415
LVA,2000,14.259
LTU,2000,16.404
LUX,2000,2.345
MEX,2000,2.564
NLD,2000,3.047
NZL,2000,6.131
NOR,2000,3.331
POL,2000,16.37
PRT,2000,3.928
SVK,2000,18.777
SVN,2000,6.729
ESP,2000,13.863
SWE,2000,5.799
CHE,2000,2.657
TUR,2000,6.495
GBR,2000,5.383
USA,2000,3.992
G7,2000,5.672
EU27,2000,9.495
EU19OECD,2000,9.034
EU22OECD,2000,9.515
OECD,2000,6.259
OECD_REP,2000,7.587
BGR,2000,16.919
CHN,2000,3.576
CYP,2000,4.967
IND,2000,4.317
IDN,2000,6.078
MLT,2000,6.324
ROU,2000,7.157
RUS,2000,10.581
AUS,2001,6.746
AUT,2001,3.562
BEL,2001,6.61
CAN,2001,7.21
CHL,2001,10.387
COL,2001,15.04
CRI,2001,5.915
CZE,2001,8.141
DNK,2001,4.438
EST,2001,12.964
FIN,2001,9.063
FRA,2001,7.793
DEU,2001,7.834
GRC,2001,10.792
HUN,2001,5.706
ISL,2001,2.26
IRL,2001,4.117
ISR,2001,11.73
ITA,2001,9.485
JPN,2001,5.035
KOR,2001,3.986
LVA,2001,13.674
LTU,2001,17.366
LUX,2001,1.805
MEX,2001,2.538
NLD,2001,2.493
NZL,2001,5.434
NOR,2001,3.511
POL,2001,18.595
PRT,2001,4.008
SVK,2001,19.309
SVN,2001,6.173
ESP,2001,10.469
SWE,2001,5.017
CHE,2001,2.49
TUR,2001,8.381
GBR,2001,4.896
USA,2001,4.732
G7,2001,5.889
EU27,2001,9.08
EU19OECD,2001,8.253
EU22OECD,2001,9.035
OECD,2001,6.663
OECD_REP,2001,7.624
BRA,2001,9.358
BGR,2001,20.312
CYP,2001,3.984
IDN,2001,8.101
MLT,2001,7.107
ROU,2001,6.606
RUS,2001,8.978
AUS,2002,6.375
AUT,2002,3.985
BEL,2002,7.514
CAN,2002,7.656
CHL,2002,10.166
COL,2002,15.633
CRI,2002,6.334
CZE,2002,7.289
DNK,2002,4.363
EST,2002,11.192
FIN,2002,8.98
FRA,2002,7.919
DEU,2002,8.567
GRC,2002,10.353
HUN,2002,5.811
ISL,2002,3.251
IRL,2002,4.759
ISR,2002,12.785
ITA,2002,8.985
JPN,2002,5.38
KOR,2002,3.267
LVA,2002,12.481
LTU,2002,13.737
LUX,2002,2.621
MEX,2002,2.864
NLD,2002,3.066
NZL,2002,5.282
NOR,2002,3.762
POL,2002,19.932
PRT,2002,5.0
SVK,2002,18.633
SVN,2002,6.312
ESP,2002,11.45
SWE,2002,5.208
