target_country,shock_id,topic,report_text
CAN,2007,Country POSet diagnostic paragraph,"For the 2007 baseline, CAN is assigned to profile 3-3-4-5-5 and layer 1. It belongs to a Pareto/frontier profile. In the observed profile POSet, 0 profiles dominate it, 8 profiles are dominated by it, and 16 profiles are incomparable with it. Its GDP recovery outcome is 1.0 years. This explanation is structural and descriptive, not a causal ranking."
DEU,2007,Country POSet diagnostic paragraph,"For the 2007 baseline, DEU is assigned to profile 2-1-4-2-3 and layer 4. It does not belong to a Pareto/frontier profile. In the observed profile POSet, 7 profiles dominate it, 1 profiles are dominated by it, and 16 profiles are incomparable with it. Its GDP recovery outcome is 2.0 years. This explanation is structural and descriptive, not a causal ranking."
FRA,2007,Country POSet diagnostic paragraph,"For the 2007 baseline, FRA is assigned to profile 2-2-4-3-3 and layer 3. It does not belong to a Pareto/frontier profile. In the observed profile POSet, 6 profiles dominate it, 4 profiles are dominated by it, and 14 profiles are incomparable with it. Its GDP recovery outcome is 2.0 years. This explanation is structural and descriptive, not a causal ranking."
ITA,2007,Country POSet diagnostic paragraph,"For the 2007 baseline, ITA is assigned to profile 1-3-2-1-2 and layer 3. It does not belong to a Pareto/frontier profile. In the observed profile POSet, 10 profiles dominate it, 1 profiles are dominated by it, and 13 profiles are incomparable with it. Its GDP recovery outcome is 15.0 years. This explanation is structural and descriptive, not a causal ranking."
USA,2007,Country POSet diagnostic paragraph,"For the 2007 baseline, USA is assigned to profile 2-4-5-5-4 and layer 1. It belongs to a Pareto/frontier profile. In the observed profile POSet, 0 profiles dominate it, 8 profiles are dominated by it, and 16 profiles are incomparable with it. Its GDP recovery outcome is 1.0 years. This explanation is structural and descriptive, not a causal ranking."
CAN,2019,Country POSet diagnostic paragraph,"For the 2019 baseline, CAN is assigned to profile 3-3-3-5-5 and layer 1. It belongs to a Pareto/frontier profile. In the observed profile POSet, 0 profiles dominate it, 8 profiles are dominated by it, and 25 profiles are incomparable with it. Its GDP recovery outcome is 1.0 years. This explanation is structural and descriptive, not a causal ranking."
DEU,2019,Country POSet diagnostic paragraph,"For the 2019 baseline, DEU is assigned to profile 3-5-5-2-2 and layer 1. It belongs to a Pareto/frontier profile. In the observed profile POSet, 0 profiles dominate it, 4 profiles are dominated by it, and 29 profiles are incomparable with it. Its GDP recovery outcome is 2.0 years. This explanation is structural and descriptive, not a causal ranking."
FRA,2019,Country POSet diagnostic paragraph,"For the 2019 baseline, FRA is assigned to profile 1-1-4-3-3 and layer 3. It does not belong to a Pareto/frontier profile. In the observed profile POSet, 7 profiles dominate it, 2 profiles are dominated by it, and 24 profiles are incomparable with it. Its GDP recovery outcome is 2.0 years. This explanation is structural and descriptive, not a causal ranking."
ITA,2019,Country POSet diagnostic paragraph,"For the 2019 baseline, ITA is assigned to profile 1-1-3-1-1 and layer 4. It does not belong to a Pareto/frontier profile. In the observed profile POSet, 19 profiles dominate it, 0 profiles are dominated by it, and 14 profiles are incomparable with it. Its GDP recovery outcome is 2.0 years. This explanation is structural and descriptive, not a causal ranking."
USA,2019,Country POSet diagnostic paragraph,"For the 2019 baseline, USA is assigned to profile 1-5-5-5-5 and layer 1. It belongs to a Pareto/frontier profile. In the observed profile POSet, 0 profiles dominate it, 6 profiles are dominated by it, and 27 profiles are incomparable with it. Its GDP recovery outcome is 1.0 years. This explanation is structural and descriptive, not a causal ranking."
