target_country,shock_id,baseline_year,target_profile,child_profile_directly_dominated_by_target,child_countries,edge_type
CAN,2007,2007,3-3-4-5-5,2-2-4-3-3,FRA,hasse_cover_relation
CAN,2007,2007,3-3-4-5-5,1-2-4-4-1,BEL,hasse_cover_relation
CAN,2007,2007,3-3-4-5-5,3-1-1-2-4,POL,hasse_cover_relation
CAN,2007,2007,3-3-4-5-5,1-3-2-1-2,ITA,hasse_cover_relation
DEU,2007,2007,2-1-4-2-3,1-1-1-2-2,GRC,hasse_cover_relation
FRA,2007,2007,2-2-4-3-3,2-1-4-2-3,DEU,hasse_cover_relation
FRA,2007,2007,2-2-4-3-3,2-2-2-1-3,HUN,hasse_cover_relation
ITA,2007,2007,1-3-2-1-2,1-2-2-1-1,PRT,hasse_cover_relation
USA,2007,2007,2-4-5-5-4,2-4-5-3-2,AUT,hasse_cover_relation
USA,2007,2007,2-4-5-5-4,2-2-4-3-3,FRA,hasse_cover_relation
USA,2007,2007,2-4-5-5-4,1-2-4-4-1,BEL,hasse_cover_relation
CAN,2019,2019,3-3-3-5-5,3-1-1-1-5,ZAF,hasse_cover_relation
CAN,2019,2019,3-3-3-5-5,3-2-1-2-3,SVK,hasse_cover_relation
CAN,2019,2019,3-3-3-5-5,2-2-2-1-3,HRV,hasse_cover_relation
CAN,2019,2019,3-3-3-5-5,1-2-3-2-1,PRT,hasse_cover_relation
CAN,2019,2019,3-3-3-5-5,2-1-2-3-1,ESP,hasse_cover_relation
DEU,2019,2019,3-5-5-2-2,2-5-3-2-2,HUN,hasse_cover_relation
FRA,2019,2019,1-1-4-3-3,1-1-2-2-1,GRC,hasse_cover_relation
FRA,2019,2019,1-1-4-3-3,1-1-3-1-1,ITA,hasse_cover_relation
USA,2019,2019,1-5-5-5-5,1-5-4-5-4,GBR,hasse_cover_relation
USA,2019,2019,1-5-5-5-5,1-3-5-4-1,BEL,hasse_cover_relation
