target_country,shock_id,baseline_year,target_profile,parent_profile_directly_dominates_target,parent_countries,edge_type
DEU,2007,2007,2-1-4-2-3,2-2-4-3-3,FRA,hasse_cover_relation
FRA,2007,2007,2-2-4-3-3,2-4-5-5-4,USA,hasse_cover_relation
FRA,2007,2007,2-2-4-3-3,3-3-4-5-5,CAN,hasse_cover_relation
FRA,2007,2007,2-2-4-3-3,3-5-4-4-4,NLD,hasse_cover_relation
FRA,2007,2007,2-2-4-3-3,3-3-5-4-4,SWE,hasse_cover_relation
FRA,2007,2007,2-2-4-3-3,3-2-5-5-3,FIN,hasse_cover_relation
ITA,2007,2007,1-3-2-1-2,5-5-2-5-5,EST,hasse_cover_relation
ITA,2007,2007,1-3-2-1-2,3-3-4-5-5,CAN,hasse_cover_relation
ITA,2007,2007,1-3-2-1-2,3-5-4-4-4,NLD,hasse_cover_relation
ITA,2007,2007,1-3-2-1-2,3-3-5-4-4,SWE,hasse_cover_relation
ITA,2007,2007,1-3-2-1-2,1-4-3-5-5,GBR,hasse_cover_relation
ITA,2007,2007,1-3-2-1-2,5-4-3-2-4,SVN,hasse_cover_relation
ITA,2007,2007,1-3-2-1-2,2-4-5-3-2,AUT,hasse_cover_relation
ITA,2007,2007,1-3-2-1-2,4-3-3-1-5,CZE,hasse_cover_relation
FRA,2019,2019,1-1-4-3-3,1-5-4-5-4,GBR,hasse_cover_relation
FRA,2019,2019,1-1-4-3-3,2-2-4-4-4,FIN,hasse_cover_relation
FRA,2019,2019,1-1-4-3-3,2-3-4-3-3,SVN,hasse_cover_relation
ITA,2019,2019,1-1-3-1-1,5-5-4-1-4,CZE,hasse_cover_relation
ITA,2019,2019,1-1-3-1-1,1-1-4-3-3,FRA,hasse_cover_relation
ITA,2019,2019,1-1-3-1-1,1-2-3-2-1,PRT,hasse_cover_relation
