target_country,shock_id,target_profile,dominator_profile,dominator_countries,dominator_layer
DEU,2007,2-1-4-2-3,4-5-5-4-5,DNK,1
DEU,2007,2-1-4-2-3,2-4-5-5-4,USA,1
DEU,2007,2-1-4-2-3,3-3-4-5-5,CAN,1
DEU,2007,2-1-4-2-3,3-5-4-4-4,NLD,2
DEU,2007,2-1-4-2-3,3-3-5-4-4,SWE,2
DEU,2007,2-1-4-2-3,3-2-5-5-3,FIN,1
DEU,2007,2-1-4-2-3,2-2-4-3-3,FRA,3
FRA,2007,2-2-4-3-3,4-5-5-4-5,DNK,1
FRA,2007,2-2-4-3-3,2-4-5-5-4,USA,1
FRA,2007,2-2-4-3-3,3-3-4-5-5,CAN,1
FRA,2007,2-2-4-3-3,3-5-4-4-4,NLD,2
FRA,2007,2-2-4-3-3,3-3-5-4-4,SWE,2
FRA,2007,2-2-4-3-3,3-2-5-5-3,FIN,1
ITA,2007,1-3-2-1-2,4-5-5-4-5,DNK,1
ITA,2007,1-3-2-1-2,5-5-2-5-5,EST,1
ITA,2007,1-3-2-1-2,2-4-5-5-4,USA,1
ITA,2007,1-3-2-1-2,3-3-4-5-5,CAN,1
ITA,2007,1-3-2-1-2,3-5-4-4-4,NLD,2
ITA,2007,1-3-2-1-2,3-3-5-4-4,SWE,2
ITA,2007,1-3-2-1-2,1-4-3-5-5,GBR,1
ITA,2007,1-3-2-1-2,5-4-3-2-4,SVN,1
ITA,2007,1-3-2-1-2,2-4-5-3-2,AUT,2
ITA,2007,1-3-2-1-2,4-3-3-1-5,CZE,2
FRA,2019,1-1-4-3-3,1-5-5-5-5,USA,1
FRA,2019,1-1-4-3-3,5-4-5-4-3,CHE,1
FRA,2019,1-1-4-3-3,1-5-4-5-4,GBR,2
FRA,2019,1-1-4-3-3,4-2-5-4-4,SWE,1
FRA,2019,1-1-4-3-3,4-3-4-3-4,DNK,1
FRA,2019,1-1-4-3-3,2-2-4-4-4,FIN,2
FRA,2019,1-1-4-3-3,2-3-4-3-3,SVN,2
ITA,2019,1-1-3-1-1,1-5-5-5-5,USA,1
ITA,2019,1-1-3-1-1,5-4-3-4-5,EST,1
ITA,2019,1-1-3-1-1,5-4-5-4-3,CHE,1
ITA,2019,1-1-3-1-1,4-5-5-5-1,KOR,1
ITA,2019,1-1-3-1-1,1-5-4-5-4,GBR,2
ITA,2019,1-1-3-1-1,3-3-3-5-5,"AUS, CAN",1
ITA,2019,1-1-3-1-1,4-2-5-4-4,SWE,1
ITA,2019,1-1-3-1-1,5-4-3-3-4,NZL,2
ITA,2019,1-1-3-1-1,5-5-4-1-4,CZE,1
ITA,2019,1-1-3-1-1,4-3-4-3-4,DNK,1
ITA,2019,1-1-3-1-1,3-4-4-4-2,NLD,2
ITA,2019,1-1-3-1-1,3-5-5-2-2,DEU,1
ITA,2019,1-1-3-1-1,2-2-4-4-4,FIN,2
ITA,2019,1-1-3-1-1,2-3-4-3-3,SVN,2
ITA,2019,1-1-3-1-1,2-3-5-3-2,AUT,2
ITA,2019,1-1-3-1-1,1-3-5-4-1,BEL,2
ITA,2019,1-1-3-1-1,2-5-3-2-2,HUN,2
ITA,2019,1-1-3-1-1,1-1-4-3-3,FRA,3
ITA,2019,1-1-3-1-1,1-2-3-2-1,PRT,3
