target_country,shock_id,baseline_year,profile_code,layer,dimension,score_0_100,ordinal_level_1_to_5,interpretation
CAN,2007,2007,3-3-4-5-5,1,Debt capacity,64.98653033849067,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
CAN,2007,2007,3-3-4-5-5,1,Employment strength,63.66967674388169,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
CAN,2007,2007,3-3-4-5-5,1,R&D intensity,50.39007991533172,4,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
CAN,2007,2007,3-3-4-5-5,1,Human capital,100.0,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
CAN,2007,2007,3-3-4-5-5,1,Energy security,100.0,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2007,2007,2-1-4-2-3,4,Debt capacity,40.61569016881827,2,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2007,2007,2-1-4-2-3,4,Employment strength,31.14775552938096,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2007,2007,2-1-4-2-3,4,R&D intensity,68.23146618176881,4,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2007,2007,2-1-4-2-3,4,Human capital,30.98497562887163,2,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2007,2007,2-1-4-2-3,4,Energy security,28.58329615310983,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2007,2007,2-2-4-3-3,3,Debt capacity,38.82820258192651,2,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2007,2007,2-2-4-3-3,3,Employment strength,39.562884439209526,2,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2007,2007,2-2-4-3-3,3,R&D intensity,54.70072352512234,4,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2007,2007,2-2-4-3-3,3,Human capital,37.76496819897556,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2007,2007,2-2-4-3-3,3,Energy security,33.909460313319514,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
ITA,2007,2007,1-3-2-1-2,3,Debt capacity,1.0923535253227352,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
ITA,2007,2007,1-3-2-1-2,3,Employment strength,64.67739824630283,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
ITA,2007,2007,1-3-2-1-2,3,R&D intensity,23.421604726453666,2,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
ITA,2007,2007,1-3-2-1-2,3,Human capital,0.0,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
