shock_id,baseline_year,epsilon_value,comparability_ratio_epsilon_margin,comparability_ratio_epsilon_tolerance,frontier_countries_epsilon_margin,frontier_countries_epsilon_tolerance,is_valid_partial_order_epsilon_margin,is_valid_partial_order_epsilon_tolerance,relations_epsilon_margin,relations_epsilon_tolerance
2007,2007,0.0,0.19333333333333333,0.1933333333333333,12,12,True,True,58,58
2007,2007,0.05,0.19333333333333333,0.26,12,10,True,True,58,78
2007,2007,0.1,0.19333333333333333,0.35,12,7,True,True,58,105
2007,2007,0.15,0.19333333333333333,0.4466666666666666,12,4,True,False,58,136
2007,2007,0.2,0.19333333333333333,0.5566666666666666,12,4,True,False,58,171
2019,2019,0.0,0.1361344537815126,0.1361344537815126,20,20,True,True,81,81
2019,2019,0.05,0.1361344537815126,0.2722689075630252,20,9,True,True,81,162
2019,2019,0.1,0.1361344537815126,0.4134453781512605,20,5,True,False,81,248
2019,2019,0.15,0.13445378151260504,0.5647058823529412,20,3,True,False,80,347
2019,2019,0.2,0.12773109243697478,0.6840336134453782,20,3,True,False,76,442
