shock_id,baseline_year,epsilon,countries,relations,reciprocal_pairs,cycle_detected,is_valid_partial_order,frontier_countries,frontier_country_list,total_country_pairs,comparable_country_pairs,incomparable_country_pairs,comparability_ratio,incomparability_ratio
2007,2007,0.0,25,58,0,False,True,12,"CAN, CZE, DNK, EST, FIN, GBR, IRL, LTU, LUX, SVN, SWE, USA",300,58,242,0.19333333333333333,0.8066666666666666
2007,2007,0.05,25,78,0,False,True,10,"CAN, DNK, EST, FIN, GBR, IRL, LUX, SVN, SWE, USA",300,78,222,0.26,0.74
2007,2007,0.1,25,105,0,False,True,7,"CAN, DNK, EST, FIN, LUX, SWE, USA",300,105,195,0.35,0.65
2007,2007,0.15,25,136,2,True,False,4,"CAN, DNK, EST, USA",300,134,166,0.44666666666666666,0.5533333333333333
2007,2007,0.2,25,171,4,True,False,4,"CAN, DNK, EST, USA",300,167,133,0.5566666666666666,0.44333333333333336
2019,2019,0.0,35,81,0,False,True,20,"AUS, AUT, BGR, CAN, CHE, CZE, DEU, DNK, EST, FIN, HUN, IRL, KOR, LUX, NZL, POL, ROU, SVN, SWE, USA",595,81,514,0.1361344537815126,0.8638655462184874
2019,2019,0.05,35,162,0,False,True,9,"AUS, CAN, CHE, CZE, EST, KOR, LUX, SWE, USA",595,162,433,0.2722689075630252,0.7277310924369748
2019,2019,0.1,35,248,2,True,False,5,"AUS, CAN, EST, KOR, USA",595,246,349,0.4134453781512605,0.5865546218487395
2019,2019,0.15,35,347,11,True,False,3,"AUS, CAN, KOR",595,336,259,0.5647058823529412,0.43529411764705883
2019,2019,0.2,35,442,35,True,False,3,"AUS, CAN, KOR",595,407,188,0.6840336134453782,0.31596638655462184
