Country,shock_id,shock_label,status,first_negative_year,dynamic_baseline_year,baseline_gdp_index,recovery_year,recovery_years,final_available_year,final_gdp_index,not_recovered_value_used,shock_window_growth_values,note
AUS,2007,Global Financial Crisis,no_negative_growth_in_shock_window,,2007.0,100.0,2008.0,0.0,2025,,0.0,"{2008: 1.95484826298521, 2009: 2.21004795300734}",No negative GDP growth observed in shock window; assigned recovery value 0.
AUT,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2011.0,2.0,2025,116.01243636693529,,"{2008: 1.45330580608418, 2009: -3.58626483259779}",GDP index returned to dynamic pre-shock baseline.
BEL,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2010.0,1.0,2025,124.65815596316075,,"{2008: 0.446905130727231, 2009: -1.90644105515336}",GDP index returned to dynamic pre-shock baseline.
BRA,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2010.0,1.0,2023,123.69744884403738,,"{2008: 5.09419555783932, 2009: -0.125811937286412}",GDP index returned to dynamic pre-shock baseline.
CAN,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2010.0,1.0,2025,135.40341391188645,,"{2008: 0.995406342461433, 2009: -2.91508625839376}",GDP index returned to dynamic pre-shock baseline.
CHE,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2010.0,1.0,2025,132.1962132405666,,"{2008: 2.53159628971551, 2009: -1.93490949501716}",GDP index returned to dynamic pre-shock baseline.
CHL,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2010.0,1.0,2025,154.79403213365052,,"{2008: 3.78939280638046, 2009: -1.11803723646788}",GDP index returned to dynamic pre-shock baseline.
CHN,2007,Global Financial Crisis,no_negative_growth_in_shock_window,,2007.0,100.0,2008.0,0.0,2023,,0.0,"{2008: 9.65065957999029, 2009: 9.3987416270343}",No negative GDP growth observed in shock window; assigned recovery value 0.
COL,2007,Global Financial Crisis,no_negative_growth_in_shock_window,,2007.0,100.0,2008.0,0.0,2025,,0.0,"{2008: 3.2834461861654, 2009: 1.13964864548062}",No negative GDP growth observed in shock window; assigned recovery value 0.
CRI,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2010.0,1.0,2024,169.98086070483473,,"{2008: 4.73817487793161, 2009: -0.87345594285363}",GDP index returned to dynamic pre-shock baseline.
CZE,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2014.0,5.0,2025,128.13973502757062,,"{2008: 2.6122680720514, 2009: -4.79832416684926}",GDP index returned to dynamic pre-shock baseline.
DEU,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2011.0,2.0,2025,115.04950507801743,,"{2008: 0.887902330743618, 2009: -5.54455451920673}",GDP index returned to dynamic pre-shock baseline.
DNK,2007,Global Financial Crisis,recovered,2008.0,2007.0,100.0,2015.0,7.0,2025,126.50604118796873,,"{2008: -0.417178439991002, 2009: -4.97447905669059}",GDP index returned to dynamic pre-shock baseline.
ESP,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2017.0,8.0,2025,117.89987717839517,,"{2008: 0.767165748290698, 2009: -3.76813306940054}",GDP index returned to dynamic pre-shock baseline.
EST,2007,Global Financial Crisis,recovered,2008.0,2007.0,100.0,2016.0,8.0,2025,117.83524347570125,,"{2008: -5.12531313097465, 2009: -14.6302202382152}",GDP index returned to dynamic pre-shock baseline.
FIN,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2017.0,8.0,2025,103.0160124315925,,"{2008: 0.784431219273039, 2009: -8.07603089881314}",GDP index returned to dynamic pre-shock baseline.
FRA,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2011.0,2.0,2025,118.07739215803315,,"{2008: 0.380171435849127, 2009: -2.82455153714782}",GDP index returned to dynamic pre-shock baseline.
GBR,2007,Global Financial Crisis,recovered,2008.0,2007.0,100.0,2013.0,5.0,2025,122.19523845024241,,"{2008: -0.049411654562256, 2009: -4.58740819632889}",GDP index returned to dynamic pre-shock baseline.
GRC,2007,Global Financial Crisis,not_recovered_by_available_data,2009.0,2008.0,100.0,,20.0,2025,86.13966960101418,20.0,"{2008: 0.057473865625609, 2009: -4.11927611877196}",GDP index did not return to 100 by last available year; assigned 20.
HUN,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2014.0,5.0,2025,132.76707861355686,,"{2008: 0.993437086399175, 2009: -6.74016608670778}",GDP index returned to dynamic pre-shock baseline.
IDN,2007,Global Financial Crisis,no_negative_growth_in_shock_window,,2007.0,100.0,2008.0,0.0,2025,,0.0,"{2008: 6.01370250263284, 2009: 4.70176851705064}",No negative GDP growth observed in shock window; assigned recovery value 0.
IND,2007,Global Financial Crisis,no_negative_growth_in_shock_window,,2007.0,100.0,2008.0,0.0,2023,,0.0,"{2008: 3.890957075823, 2009: 8.47978662038763}",No negative GDP growth observed in shock window; assigned recovery value 0.
IRL,2007,Global Financial Crisis,recovered,2008.0,2007.0,100.0,2014.0,6.0,2025,246.3237583636278,,"{2008: -4.48407076041038, 2009: -5.0957827434462}",GDP index returned to dynamic pre-shock baseline.
ISL,2007,Global Financial Crisis,recovered,2009.0,2008.0,100.0,2015.0,6.0,2025,131.55131799433966,,"{2008: 1.69961074664239, 2009: -8.32146413973676}",GDP index returned to dynamic pre-shock baseline.
ISR,2007,Global Financial Crisis,no_negative_growth_in_shock_window,,2007.0,100.0,2008.0,0.0,2025,,0.0,"{2008: 3.21587999998205, 2009: 1.22015999998478}",No negative GDP growth observed in shock window; assigned recovery value 0.
ITA,2007,Global Financial Crisis,recovered,2008.0,2007.0,100.0,2023.0,15.0,2025,101.90403451571751,,"{2008: -1.02313851177097, 2009: -5.30515401233991}",GDP index returned to dynamic pre-shock baseline.
JPN,2007,Global Financial Crisis,recovered,2008.0,2007.0,100.0,2013.0,5.0,2025,108.11705303936137,,"{2008: -1.16662209352171, 2009: -5.9359411384995}",GDP index returned to dynamic pre-shock baseline.
KOR,2007,Global Financial Crisis,no_negative_growth_in_shock_window,,2007.0,100.0,2008.0,0.0,2025,,0.0,"{2008: 3.0044045167957, 2009: 0.819861756417951}",No negative GDP growth observed in shock window; assigned recovery value 0.
