Country,min_year,max_year,years_available,min_growth,median_growth,max_growth,shock_window_years_available_2007,has_shock_window_data_2007,shock_window_years_available_2019,has_shock_window_data_2019
AUS,2002,2025,24,-0.133531904304771,2.627821403898685,4.25304559238733,2,True,2,True
AUT,2002,2025,24,-6.31825516760371,1.6196725228959998,5.33096379845654,2,True,2,True
BEL,2002,2025,24,-4.7929839083518,1.63407484945815,6.25445686466592,2,True,2,True
BRA,2002,2023,22,-3.54576339346129,3.01075849056323,7.52822589636044,2,True,2,True
CAN,2002,2025,24,-5.03823341596652,2.18785909153069,5.95052804144319,2,True,2,True
CHE,2002,2025,24,-2.25525798669794,1.645313577722175,6.1762283856019,2,True,2,True
CHL,2002,2025,24,-6.13969694120921,3.2556536911223,11.3374032409968,2,True,2,True
CHN,2002,2023,22,2.08485182630195,8.15611787899876,14.2308380208728,2,True,2,True
COL,2002,2025,24,-7.1859141376086,3.59804097666327,10.8011981904878,2,True,2,True
CRI,2002,2024,23,-4.27335432159096,4.31717986617864,8.21513198346369,2,True,2,True
CZE,2002,2025,24,-5.30487955463877,2.6634665855642004,6.62317299177447,2,True,2,True
DEU,2002,2025,24,-5.54455451920673,1.0567153715186404,4.13463778522757,2,True,2,True
DNK,2002,2025,24,-4.97447905669059,1.48778523135387,6.50025445756294,2,True,2,True
ESP,2002,2025,24,-10.9400706350371,2.790205060713035,6.68314420473002,2,True,2,True
EST,2002,2025,24,-14.6302202382152,3.4974048634737898,9.76257170103406,2,True,2,True
FIN,2002,2025,24,-8.07603089881314,1.27135808407314,5.31280178224827,2,True,2,True
FRA,2002,2025,24,-7.4406458994823,1.5687168974778398,6.8823378336024,2,True,2,True
GBR,2002,2025,24,-10.0478966434945,1.929437615587775,8.54311184370839,2,True,2,True
GRC,2002,2025,24,-9.87677874460935,1.76889857711517,8.65449796820443,2,True,2,True
HUN,2002,2025,24,-6.74016608670778,3.049228783786305,7.22291580740456,2,True,2,True
IDN,2002,2025,24,-2.06551182934165,5.0593085399521645,6.37762568565668,2,True,2,True
IND,2002,2023,22,-5.77772470687492,7.73487323766606,10.2599629877556,2,True,2,True
IRL,2002,2025,24,-5.0957827434462,5.14898586134716,24.62398557014,2,True,2,True
ISL,2002,2025,24,-8.32146413973676,2.883218393996165,8.85729898967205,2,True,2,True
ISR,2002,2025,24,-1.80243000003329,3.8857100000128098,9.33534691282232,2,True,2,True
ITA,2002,2025,24,-8.86822122185344,0.7727249062916346,8.93106210800055,2,True,2,True
JPN,2002,2025,24,-5.9359411384995,1.2623801955203349,4.13645589223656,2,True,2,True
KOR,2002,2025,24,-0.700242317542107,3.17382158580632,7.74399895319568,2,True,2,True
LTU,2002,2025,24,-14.8386107131479,4.21491010781145,11.0779289615295,2,True,2,True
LUX,2002,2025,24,-3.23895280631301,2.37543497329645,8.09852254631858,2,True,2,True
LVA,2002,2025,24,-16.0400195313042,2.794015423214245,12.825017846905,2,True,2,True
MEX,2002,2025,24,-8.35403459655553,2.024973009138205,6.04848344372723,2,True,2,True
NLD,2002,2025,24,-3.86799717641019,1.9004577587331601,6.27683592921156,2,True,2,True
NOR,2002,2025,24,-1.61327152548187,1.440600104366775,4.33015597852733,2,True,2,True
NZL,2002,2025,24,-1.46081231848151,2.9302115756796203,5.03797727124646,2,True,2,True
POL,2002,2025,24,-2.03556623177296,3.7762123881049448,6.92718170695528,2,True,2,True
PRT,2002,2025,24,-8.20463158755973,1.68132993572613,6.98584155399039,2,True,2,True
RUS,2002,2019,18,-7.82088498169573,4.144131268989884,8.53508018556642,2,True,0,False
SVK,2002,2025,24,-5.50533790972225,2.791342394515915,10.8186295074903,2,True,2,True
SVN,2002,2025,24,-7.59058653473787,2.898624543406645,8.41686299430883,2,True,2,True
SWE,2002,2025,24,-4.25561384207619,2.060675446586375,5.75076477579255,2,True,2,True
TUR,2002,2025,24,-4.88269399737999,5.27470515044583,11.8110944853985,2,True,2,True
USA,2002,2025,24,-2.57650023225001,2.52401683248456,6.15202248021889,2,True,2,True
ZAF,2002,2025,24,-6.1689177132215,2.227182208893235,5.6038064578302,2,True,2,True
