Country,shock_id,baseline_year,problem_type,variable,value,severity,note
AGO,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ALB,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ARB,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ARE,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ARG,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ARM,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
AUS,2007,2007,incomplete_final5_baseline,rd_gdp,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
AZE,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BEN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BGD,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BGR,2007,2007,incomplete_final5_baseline,tertiary_education_25_64,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BHR,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BHS,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BIH,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BLR,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BLZ,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BOL,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BRA,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,rd_gdp",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BRB,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
