profile_a,profile_b,relation,a_dominates_b,b_dominates_a,shock_id,baseline_year
1-1-1-2-2,1-2-2-1-1,incomparable,False,False,2007,2007
1-1-1-2-2,1-2-4-4-1,incomparable,False,False,2007,2007
1-1-1-2-2,1-3-2-1-2,incomparable,False,False,2007,2007
1-1-1-2-2,1-4-3-5-5,comparable,False,True,2007,2007
1-1-1-2-2,2-1-4-2-3,comparable,False,True,2007,2007
1-1-1-2-2,2-2-2-1-3,incomparable,False,False,2007,2007
1-1-1-2-2,2-2-4-3-3,comparable,False,True,2007,2007
1-1-1-2-2,2-4-5-3-2,comparable,False,True,2007,2007
1-1-1-2-2,2-4-5-5-4,comparable,False,True,2007,2007
1-1-1-2-2,3-1-1-2-4,comparable,False,True,2007,2007
1-1-1-2-2,3-2-5-5-3,comparable,False,True,2007,2007
1-1-1-2-2,3-3-4-5-5,comparable,False,True,2007,2007
1-1-1-2-2,3-3-5-4-4,comparable,False,True,2007,2007
1-1-1-2-2,3-5-4-4-4,comparable,False,True,2007,2007
1-1-1-2-2,4-1-1-1-2,incomparable,False,False,2007,2007
1-1-1-2-2,4-1-3-3-1,incomparable,False,False,2007,2007
1-1-1-2-2,4-3-3-1-5,incomparable,False,False,2007,2007
1-1-1-2-2,4-4-2-4-1,incomparable,False,False,2007,2007
1-1-1-2-2,4-5-5-4-5,comparable,False,True,2007,2007
1-1-1-2-2,5-3-1-2-2,comparable,False,True,2007,2007
1-1-1-2-2,5-4-3-2-4,comparable,False,True,2007,2007
1-1-1-2-2,5-5-1-3-3,comparable,False,True,2007,2007
1-1-1-2-2,5-5-2-5-5,comparable,False,True,2007,2007
1-1-1-2-2,5-5-3-3-1,incomparable,False,False,2007,2007
1-2-2-1-1,1-2-4-4-1,comparable,False,True,2007,2007
1-2-2-1-1,1-3-2-1-2,comparable,False,True,2007,2007
1-2-2-1-1,1-4-3-5-5,comparable,False,True,2007,2007
1-2-2-1-1,2-1-4-2-3,incomparable,False,False,2007,2007
1-2-2-1-1,2-2-2-1-3,comparable,False,True,2007,2007
1-2-2-1-1,2-2-4-3-3,comparable,False,True,2007,2007
1-2-2-1-1,2-4-5-3-2,comparable,False,True,2007,2007
1-2-2-1-1,2-4-5-5-4,comparable,False,True,2007,2007
1-2-2-1-1,3-1-1-2-4,incomparable,False,False,2007,2007
1-2-2-1-1,3-2-5-5-3,comparable,False,True,2007,2007
1-2-2-1-1,3-3-4-5-5,comparable,False,True,2007,2007
1-2-2-1-1,3-3-5-4-4,comparable,False,True,2007,2007
1-2-2-1-1,3-5-4-4-4,comparable,False,True,2007,2007
1-2-2-1-1,4-1-1-1-2,incomparable,False,False,2007,2007
1-2-2-1-1,4-1-3-3-1,incomparable,False,False,2007,2007
1-2-2-1-1,4-3-3-1-5,comparable,False,True,2007,2007
1-2-2-1-1,4-4-2-4-1,comparable,False,True,2007,2007
1-2-2-1-1,4-5-5-4-5,comparable,False,True,2007,2007
1-2-2-1-1,5-3-1-2-2,incomparable,False,False,2007,2007
1-2-2-1-1,5-4-3-2-4,comparable,False,True,2007,2007
1-2-2-1-1,5-5-1-3-3,incomparable,False,False,2007,2007
1-2-2-1-1,5-5-2-5-5,comparable,False,True,2007,2007
1-2-2-1-1,5-5-3-3-1,comparable,False,True,2007,2007
1-2-4-4-1,1-3-2-1-2,incomparable,False,False,2007,2007
1-2-4-4-1,1-4-3-5-5,incomparable,False,False,2007,2007
1-2-4-4-1,2-1-4-2-3,incomparable,False,False,2007,2007
1-2-4-4-1,2-2-2-1-3,incomparable,False,False,2007,2007
1-2-4-4-1,2-2-4-3-3,incomparable,False,False,2007,2007
1-2-4-4-1,2-4-5-3-2,incomparable,False,False,2007,2007
