Country,mds_dim_1,mds_dim_2,shock_id,country_name,layer,is_pareto_profile,profile_code
AUT,-0.051511630411435326,0.13441003854755793,2007,AUT,2,,2-4-5-3-2
BEL,0.06816212865987809,0.2838764673626786,2007,BEL,3,,1-2-4-4-1
CAN,-0.2529171814078318,0.10817212340842275,2007,CAN,1,,3-3-4-5-5
CZE,-0.013970492799533983,-0.11960118191318767,2007,CZE,2,,4-3-3-1-5
DEU,0.13599638974515812,0.19481226408718258,2007,DEU,4,,2-1-4-2-3
DNK,-0.3961600175017134,-0.0646519318002651,2007,DNK,1,,4-5-5-4-5
ESP,0.15914564664852698,-0.0401816213986659,2007,ESP,2,,4-1-3-3-1
EST,-0.3127819121876022,-0.2791090536120932,2007,EST,1,,5-5-2-5-5
FIN,-0.12600666091371399,0.19796098456291142,2007,FIN,1,,3-2-5-5-3
FRA,0.0337778339886901,0.17515704197861554,2007,FRA,3,,2-2-4-3-3
GBR,-0.2258683755101478,0.13212244501419118,2007,GBR,1,,1-4-3-5-5
GRC,0.3753226789306835,0.07646016066594188,2007,GRC,5,,1-1-1-2-2
HUN,0.21278615527968303,0.062435346204259966,2007,HUN,4,,2-2-2-1-3
IRL,-0.01771377092703526,-0.13582766825661324,2007,IRL,2,,4-4-2-4-1
ITA,0.24628031313661314,0.04567132294908857,2007,ITA,3,,1-3-2-1-2
LTU,-0.028239728669590704,-0.31151315286594616,2007,LTU,2,,5-5-1-3-3
LUX,-0.0481550279135733,-0.2319243326045778,2007,LUX,1,,5-5-3-3-1
LVA,0.1878866130914038,-0.2509705293537892,2007,LVA,3,,5-3-1-2-2
NLD,-0.2620555079780503,0.01789847307243764,2007,NLD,2,,3-5-4-4-4
POL,0.16756734380224006,-0.042094582947045406,2007,POL,3,,3-1-1-2-4
PRT,0.3565599009375985,0.09442175148451808,2007,PRT,5,,1-2-2-1-1
SVK,0.352924291313861,-0.16390323333187268,2007,SVK,4,,4-1-1-1-2
SVN,-0.07867473774577019,-0.19461952266221705,2007,SVN,1,,5-4-3-2-4
SWE,-0.19201628057016698,0.11775385920566571,2007,SWE,2,,3-3-5-4-4
USA,-0.29033797099817127,0.1932445322028015,2007,USA,1,,2-4-5-5-4
AUS,-0.11827352848317307,0.08158419604931531,2019,AUS,1,,3-3-3-5-5
AUT,-0.08466580162412211,-0.1942017995079097,2019,AUT,2,,2-3-5-3-2
BEL,-0.17643485083471505,-0.3621531501191126,2019,BEL,2,,1-3-5-4-1
BGR,0.07426801561727965,0.31297358388700014,2019,BGR,3,,5-4-1-2-4
CAN,-0.11827352848317323,0.08158419604931551,2019,CAN,1,,3-3-3-5-5
CHE,-0.27977531450225074,0.1029855626476822,2019,CHE,1,,5-4-5-4-3
COL,0.37137173087914327,0.07609956080022606,2019,COL,4,,2-1-1-1-5
CZE,-0.10556712228517358,0.24860596921166478,2019,CZE,1,,5-5-4-1-4
DEU,-0.13413344758416118,-0.06090663679829214,2019,DEU,1,,3-5-5-2-2
DNK,-0.08873250855849549,0.08894786155308752,2019,DNK,1,,4-3-4-3-4
ESP,0.21627446984867446,-0.2198332458306568,2019,ESP,3,,2-1-2-3-1
EST,-0.17046150332769744,0.25655335276306,2019,EST,1,,5-4-3-4-5
FIN,-0.05266949283139179,-0.08567251478718456,2019,FIN,2,,2-2-4-4-4
FRA,0.06800508336497048,-0.2241403613246565,2019,FRA,3,,1-1-4-3-3
GBR,-0.296869138618447,-0.08185185925177142,2019,GBR,2,,1-5-4-5-4
GRC,0.28663981427734125,-0.26068607158893825,2019,GRC,4,,1-1-2-2-1
HRV,0.24718126290242087,-0.033110272597459633,2019,HRV,3,,2-2-2-1-3
HUN,-0.00845907284206791,-0.08360207425705829,2019,HUN,2,,2-5-3-2-2
IRL,-0.08785753348509102,-0.0044670681712085285,2019,IRL,1,,3-4-2-5-2
ITA,0.266791635486821,-0.27579362095002946,2019,ITA,4,,1-1-3-1-1
KOR,-0.3775612346627896,-0.0852669117795858,2019,KOR,1,,4-5-5-5-1
LTU,0.10520999444086779,0.03470769962502923,2019,LTU,2,,4-2-1-4-2
LUX,-0.05837884806591545,0.013550925388499346,2019,LUX,1,,5-3-2-5-1
LVA,0.15669928908195263,0.10319811286451537,2019,LVA,3,,4-2-1-3-3
NLD,-0.16940105627514923,-0.05800659877883137,2019,NLD,2,,3-4-4-4-2
NZL,-0.09193218858174065,0.19343130030179534,2019,NZL,2,,5-4-3-3-4
POL,0.018383594637880262,0.15248913314619375,2019,POL,1,,4-5-2-2-3
PRT,0.14421309058674425,-0.25168018615605964,2019,PRT,3,,1-2-3-2-1
ROU,0.12341839214580394,0.34680729352986656,2019,ROU,2,,4-4-1-1-5
SVK,0.22763025437077,0.05044802701635636,2019,SVK,4,,3-2-1-2-3
SVN,-0.04485500318007216,-0.09747835222431407,2019,SVN,2,,2-3-4-3-3
SWE,-0.13558343602326697,0.04357010922895606,2019,SWE,1,,4-2-5-4-4
TUR,0.3219814316982705,0.08944964032216536,2019,TUR,3,,5-1-2-1-2
USA,-0.37591825946774593,-0.06713101226707546,2019,USA,1,,1-5-5-5-5
ZAF,0.347734810377699,0.16899521200541526,2019,ZAF,3,,3-1-1-1-5
