shock_id,variable,countries_with_any_data,mean_years_available,median_years_available,mean_coverage_rate
2007,energy_import_dependency_raw,141,5.794326241134752,6.0,0.9657210401891252
2007,gdp_growth,44,6.0,6.0,1.0
2007,inflation_cpi,47,6.0,6.0,1.0
2007,productivity_gdp_per_hour,40,6.0,6.0,1.0
2007,public_debt_gdp_canonical,72,5.25,6.0,0.875
2007,rd_gdp,46,5.543478260869565,6.0,0.9239130434782609
2007,tertiary_education_25_64,38,5.342105263157895,6.0,0.8903508771929826
2007,unemployment_rate,50,5.76,6.0,0.96
2019,energy_import_dependency_raw,150,7.7,8.0,0.9625
2019,gdp_growth,44,8.0,8.0,1.0
2019,inflation_cpi,48,7.875,8.0,0.984375
2019,productivity_gdp_per_hour,41,8.0,8.0,1.0
2019,public_debt_gdp_canonical,93,6.645161290322581,8.0,0.8306451612903226
2019,rd_gdp,47,7.617021276595745,8.0,0.9521276595744681
2019,tertiary_education_25_64,47,7.191489361702128,8.0,0.898936170212766
2019,unemployment_rate,52,7.826923076923077,8.0,0.9783653846153846
