"country","year","Approval_Not_Smoothed"
"Argentina",1983,67.252609
"Argentina",1984,61.002979
"Argentina",1985,58.382301
"Argentina",1986,54.313831
"Argentina",1987,48.490929
"Argentina",1988,41.040192
"Argentina",1989,46.26585
"Argentina",1990,49.765091
"Argentina",1991,47.941799
"Argentina",1992,46.080372
"Argentina",1993,43.1945
"Argentina",1994,44.535938
"Argentina",1995,42.29615
"Argentina",1996,33.332069
"Argentina",1997,33.973042
"Argentina",1998,32.12389
"Argentina",1999,42.17466
"Argentina",2000,46.135551
"Argentina",2001,31.172791
"Argentina",2002,30.174061
"Argentina",2003,59.634048
"Argentina",2004,59.26453
"Argentina",2005,58.469601
"Argentina",2006,58.857208
"Argentina",2007,53.85907
"Argentina",2008,42.811878
"Argentina",2009,35.922508
"Argentina",2010,46.444172
"Argentina",2011,55.28196
"Argentina",2012,50.727879
"Argentina",2013,45.24918
"Argentina",2014,45.34486
"Argentina",2015,48.65015
"Argentina",2016,50.409409
"Argentina",2017,42.229321
"Argentina",2018,35.491009
"Australia",1968,64.571053
"Australia",1969,59.97501
"Australia",1970,48.025318
"Australia",1971,46.995811
"Australia",1972,33.777611
"Australia",1973,50.92083
"Australia",1974,47.604019
"Australia",1975,42.272621
"Australia",1976,50.576118
"Australia",1977,42.464119
"Australia",1978,44.808102
"Australia",1979,37.607639
"Australia",1980,45.122162
"Australia",1981,40.95509
"Australia",1982,41.322769
"Australia",1983,60.319721
"Australia",1984,70.584198
"Australia",1985,59.16103
"Australia",1986,54.715221
"Australia",1987,56.619389
"Australia",1988,55.238949
"Australia",1989,48.747379
"Australia",1990,45.634979
"Australia",1991,40.82869
"Australia",1992,37.657719
"Australia",1993,37.176842
"Australia",1994,42.72998
"Australia",1995,39.031841
"Australia",1996,55.904911
"Australia",1997,48.403221
"Australia",1998,42.824772
"Australia",1999,48.634281
"Australia",2000,47.323078
"Australia",2001,52.566441
"Australia",2002,56.398571
"Australia",2003,59.02618
"Australia",2004,55.415089
"Australia",2005,54.206421
"Australia",2006,52.56345
"Australia",2007,49.2229
"Australia",2008,66.05909
"Australia",2009,65.640129
"Australia",2010,50.600128
"Australia",2011,38.794891
"Australia",2012,35.906109
"Australia",2013,41.432739
"Australia",2014,42.18948
"Australia",2015,51.409328
"Australia",2016,42.249359
"Australia",2017,37.471439
"Australia",2018,42.833279
"Austria",1987,33.80262
"Austria",1988,37.764881
"Austria",1989,39.705502
"Austria",1990,39.705502
"Austria",1991,41.727139
"Austria",1992,45.931831
"Austria",1993,45.931831
"Austria",1994,50.312038
"Austria",1995,30.17054
"Austria",1996,33.566639
"Austria",1997,33.566639
"Austria",1998,37.1045
"Austria",1999,39.234901
"Austria",2000,39.48114
"Austria",2001,37.062351
"Austria",2002,39.041962
"Austria",2003,29.792801
"Austria",2004,28.873871
"Austria",2005,34.3302
"Austria",2006,35.259762
"Austria",2007,32.658089
"Austria",2008,22.96246
"Austria",2009,38.853069
"Austria",2010,31.785589
"Austria",2011,29.79475
"Austria",2012,30.79446
"Austria",2013,36.54266
"Austria",2014,31.770809
"Austria",2015,34.870789
"Austria",2016,29.662519
"Austria",2017,37.489521
"Austria",2018,46.027409
"Austria",2019,51.889629
"Bolivia",1998,33.93367
"Bolivia",1999,34.328442
"Bolivia",2000,31.26895
"Bolivia",2001,41.11507
"Bolivia",2002,42.471642
"Bolivia",2003,21.808029
"Bolivia",2004,55.184689
"Bolivia",2005,55.628529
"Bolivia",2006,65.985153
"Bolivia",2007,59.68462
"Bolivia",2008,52.438889
"Bolivia",2009,52.577332
"Bolivia",2010,50.520519
"Bolivia",2011,35.709351
"Bolivia",2012,43.17728
"Bolivia",2013,55.152351
"Bolivia",2014,68.815132
"Bolivia",2015,70.758133
"Bolivia",2016,51.05439
"Bolivia",2017,50.3941
"Bolivia",2018,39.795059
"Brazil",1979,58.331581
"Brazil",1980,39.1884
"Brazil",1981,44.670311
"Brazil",1982,50.465469
"Brazil",1983,40.44141
"Brazil",1984,29.094721
"Brazil",1985,52.759399
"Brazil",1986,62.433849
"Brazil",1987,22.93726
"Brazil",1988,15.42777
"Brazil",1989,16.60343
"Brazil",1990,41.06263
"Brazil",1991,27.40279
"Brazil",1992,23.065359
"Brazil",1993,27.06938
"Brazil",1994,33.214088
"Brazil",1995,46.650639
"Brazil",1996,45.578388
"Brazil",1997,46.64893
"Brazil",1998,43.134609
"Brazil",1999,25.3566
"Brazil",2000,27.59164
"Brazil",2001,27.90876
"Brazil",2002,31.02849
"Brazil",2003,52.124722
"Brazil",2004,41.346241
"Brazil",2005,39.053741
"Brazil",2006,47.976398
"Brazil",2007,51.54319
"Brazil",2008,64.457779
"Brazil",2009,68.080467
"Brazil",2010,74.847183
"Brazil",2011,55.478619
"Brazil",2012,62.56382
"Brazil",2013,48.329979
"Brazil",2014,40.63438
"Brazil",2015,17.608391
"Brazil",2016,21.9086
"Brazil",2017,13.33846
"Brazil",2018,10.64771
"Brazil",2019,35.996479
"Bulgaria",1990,56.858971
"Bulgaria",1991,54.00626
"Bulgaria",1992,44.840611
"Bulgaria",1993,43.0867
"Bulgaria",1994,30.384171
"Bulgaria",1995,42.624859
"Bulgaria",1996,28.46978
"Bulgaria",1997,54.510189
"Bulgaria",1998,51.67276
"Bulgaria",1999,48.046501
"Bulgaria",2000,41.15807
"Bulgaria",2001,50.95866
"Bulgaria",2002,41.43713
"Bulgaria",2003,34.08757
"Bulgaria",2004,36.342911
"Bulgaria",2005,41.559238
"Bulgaria",2006,41.20726
"Bulgaria",2007,38.294079
"Bulgaria",2008,30.415359
"Bulgaria",2009,40.940041
"Bulgaria",2010,43.762058
"Bulgaria",2011,37.097321
"Bulgaria",2012,38.11771
"Bulgaria",2013,32.254318
"Bulgaria",2014,25.139099
"Bulgaria",2015,32.244881
"Bulgaria",2016,30.63681
"Bulgaria",2017,35.023418
"Bulgaria",2018,41.985741
"Bulgaria",1990,56.420479
"Bulgaria",1991,55.141479
"Bulgaria",1992,43.124271
"Bulgaria",1993,42.381989
"Bulgaria",1994,31.69326
"Bulgaria",1995,47.041191
"Bulgaria",1996,36.169739
