year,country,Public_Debt (%GDP),Energy_Import_Dependency,Tertiary_education_attainment,Inflation_Rate,Unemployment_Variation,Gov_score,Productivity_Variation,GDP_Growth
2000,ALB,,45.781,,,,47.6615336,,
2002,ALB,,53.36,,,,53.080731199999995,,
2003,ALB,,50.757,,,,54.6310229,,
2004,ALB,,47.764,,,,56.665036199999996,,
2005,ALB,,49.71,,,,58.6105394,,
2006,ALB,,40.387,,,,58.9530841,,
2007,ALB,,49.179,,,,58.5662266,,
2008,ALB,,49.78,,,,59.870169,,
2009,ALB,,46.388,,,,59.562827,,
2010,ALB,,28.897,,,,59.0736552,,
2011,ALB,,35.658,,,,56.763853499999996,,
2012,ALB,,15.626,,,,55.846915599999996,,
2013,ALB,,25.3,,,,55.7711841,,
2014,ALB,,28.716,,,,58.5717241,,
2015,ALB,,12.593,,,,58.1856874,,
2016,ALB,,20.128,,,,58.140733999999995,,
2017,ALB,,38.126,,,,58.7177229,,
2018,ALB,,20.967,,,,59.2204451,,
2019,ALB,,31.546,,,,58.5428607,,
2020,ALB,,35.822,,,,57.8200814,,
2021,ALB,,23.765,,,,56.8421631,,
2022,ALB,,31.467,,,,57.2723796,,
2023,ALB,,21.845,,,,56.212260799999996,,
2024,ALB,,27.138,,,,56.6319145,,
2000,ARG,,,16.711861,34.27723,7.561,64.5902122,,-0.788998924
2002,ARG,,,16.711861,34.27723,7.561,62.677685499999995,,-10.894484806
2003,ARG,,,16.711861,34.27723,7.561,64.1974319,,8.837040773
2004,ARG,,,16.711861,34.27723,7.561,65.2542794,,9.029573319
2005,ARG,,,17.471054,34.27723,7.561,65.790841,,8.851659925
2006,ARG,,,17.830963,34.27723,7.561,65.76930589999999,,8.047151495
2007,ARG,,,18.4023875,34.27723,7.561,65.6717505,,9.007650884
2008,ARG,,,18.973812,34.27723,7.561,63.9973872,,4.057233103
2009,ARG,,,19.518599,34.27723,7.561,63.6438036,,-5.918525084
2010,ARG,,,20.111586,34.27723,7.561,64.62032169999999,,10.125398164
2011,ARG,,,20.237337,34.27723,7.561,62.8378088,,6.003951689
2012,ARG,,,20.556126,34.27723,7.561,62.296034999999996,,-1.026420465
2013,ARG,,,21.056189,34.27723,7.561,61.189000799999995,,2.405323788
2014,ARG,,,20.534544,34.27723,7.561,62.192376499999995,,-2.512615328
2015,ARG,,,20.78649903,34.27723,7.561,63.2869611,,2.731159839
2016,ARG,,,21.03845406,34.27723,7.561,64.7174938,,-2.080327847
2017,ARG,,,21.29040909,34.27723,7.215,67.0355392,,2.818502971
2018,ARG,,,21.80264664,34.27723,9.132,67.8718554,,-2.617396456
2019,ARG,,,22.66526985,53.54831,8.901,67.315243,,-2.000861003
2020,ARG,,,22.26409912,42.01509,10.962,67.18107069999999,,-9.900484821
2021,ARG,,,24.63621902,48.40938,6.971,66.012587,,10.441812001
2022,ARG,,,23.68571091,72.43076,6.285,65.5463784,,6.020745375
2023,ARG,,,23.67523003,133.4889,5.73,65.5332743,,-1.85578803
2024,ARG,,,23.67523003,219.8845,5.73,63.597359,,-1.342930728
2000,AUS,12.765,,27.475746,4.457435,6.288,82.0517314,52.46407557607455,3.359670121
2002,AUS,12.765,,30.759785,2.981575,6.375,82.2533828,55.9999730738054,3.998847357
2003,AUS,12.765,,31.314152,2.732596,5.932,82.3347099,58.165624998476545,3.118015258
2004,AUS,12.765,,30.82308,2.343255,5.399,81.3567425,59.149428649979455,3.957028074
2005,AUS,12.765,,31.691153,2.691832,5.036,84.25420079999999,60.64933816939943,3.043230489
2006,AUS,12.765,,33.022213,3.555288,4.785,84.2800468,62.26341780209047,2.706155397
2007,AUS,12.765,,33.73671,2.327611,4.381,84.7218673,63.560526641668474,4.378258966
2008,AUS,15.469,,36.149986,4.350298,4.241,84.71497839999999,65.0613159653464,2.536141252
2009,AUS,21.004,,36.881355,1.771117,5.565,84.7351745,67.13803611920423,1.999028522
2010,AUS,23.552,,37.604309,2.91834,5.214,85.4783984,68.233568328288,2.481294805
