year,country,OECD_Inflation_CPI_2000_2025,OECD_Productivity_Variation_2000_2025,OECD_Public_Debt_GDP_2000_2025,OECD_RD_GDP_2000_2025,OECD_Tertiary_Education_2000_2025,OECD_Unemployment_Rate_2000_2025
2006,ARG,,,,0.452155425,17.830963,
2006,AUS,3.555288,62.26341780209047,,1.995974542,33.022213,4.785
2006,AUT,1.441547,55.1460771854954,,2.3760013,25.356432,5.243
2006,BEL,1.791208,60.99485639427033,,1.822692776,31.754845,8.246
2006,BGR,7.261595,15.588846552965016,,0.442161752,,8.951
2006,BRA,4.183568,,,,,8.378
2006,CAN,2.002025,52.98436562721878,,1.94299895,46.881516,6.473
2006,CHE,1.059509,69.3201033107416,,,29.851349,3.995
2006,CHL,3.392019,4151.940532107442,,,,9.023
2006,CHN,1.5,,,1.349230923,,
2006,COL,4.293426,6729.192110314572,,0.164266293,,
2006,CRI,11.4706,2097.4426714658493,,,21.029402,5.74
2006,CYP,,,,,,4.543
2006,CZE,2.533993,247.3538438571333,,1.225642064,13.522043,7.138
2006,DEU,1.577429,54.67268606753295,,2.430433933,23.947578,10.293
2006,DNK,1.924221,259.7281601815198,,2.398752589,34.719662,3.488
2006,E,,,,,,8.33243837213772
2006,EA20,2.2,47.51689818274563,,,,
2006,ESP,3.515576,38.18958846541612,,1.175671648,28.809401,8.452
2006,EST,4.437621,21.895057203038824,,1.112589281,33.118874,5.903
2006,EU19OECD,,,,,,8.399
2006,EU22OECD,,,,,,8.729
2006,EU27,,,,,,8.694
2006,EU27_2020,2.3,41.69218559873785,,1.735591265,,
2006,FIN,1.566667,53.736229855505776,,3.332849052,35.141739,7.638
2006,FRA,1.675125,57.48092055736022,,2.053304654,26.183411,8.816
2006,G20,3.333273,,,,,
2006,G7,2.430552,,,,,5.806
2006,GBR,2.5,48.72974920013388,,1.569813542,34.191841,5.353
2006,GRC,3.195946,31.004933149729872,,0.570511629,22.428827,9.008
2006,HRV,3.183333,22.4128979897615,,0.732379268,,11.13
2006,HUN,3.930326,2175.4639164096984,,0.978347582,17.699047,7.499
2006,IDN,13.10867,,,,6.1217303,10.362
2006,IND,5.796516,,,,,4.377
2006,IRL,3.935761,55.61558447950025,,1.198867101,31.095585,4.892
2006,ISL,6.687074,3335.8086265600973,,2.819349653,30.411818,3.219
2006,ISR,2.054079,87.03738361694752,,4.019064856,,10.649
2006,ITA,2.090843,47.1351656859481,,1.079023418,12.872448,6.777
2006,JPN,0.3,2277.440650478209,,3.227655613,40.464294,4.101
2006,KOR,2.24234,,,2.615154105,33.070503,3.479
2006,LTU,3.73912,20.430685621595472,,0.793813425,26.751383,5.78
2006,LUX,2.666315,88.87052618428935,,1.64886367,23.993208,4.731
2006,LVA,6.536199,17.61165375944005,,0.682846995,20.919746,7.03
2006,MEX,3.629463,93.41257521276097,,0.352975308,13.26213,3.566
2006,MKD,,,,,,36.025
2006,MLT,,,,,,6.798
2006,NLD,1.101501,59.20587828268523,,1.732079994,30.189871,5.006
2006,NOR,2.32935,421.82986142815344,,1.449720006,32.926327,3.399
2006,NZL,3.365404,45.3512854440456,,,,3.857
2006,OECD,2.668898,45.63587864854735,,2.185074447,26.525527,6.171
2006,OECDE,2.516031,,,,,
2006,OECD_REP,,,,,,6.653
2006,PER,,,,,,4.589
2006,POL,1.033333,36.796413830767904,,0.548997322,17.891872,13.841
2006,PRT,3.107666,28.35667110574635,,0.954479504,13.480192,7.648
2006,ROU,,26.0293434905144,,0.456818218,,7.269
2006,RUS,9.668655,,,0.998925868,,7.055
2006,SAU,2.20902,,,,,
2006,SGP,,,,2.116562327,,
2006,SVK,4.483331,23.428062090039774,,0.474984321,14.567307,13.302
2006,SVN,2.457924,31.141324612649225,,1.545691802,21.387041,5.95
2006,SWE,1.360215,309.0781180313793,,3.4796428,30.520433,6.975
2006,TUR,9.597242,37.9905461842242,,0.550356847,10.919287,10.229
2006,TWN,,,,2.442116853,,
2006,USA,3.225944,60.547581974419195,,2.545451755,39.486282,4.624
2006,ZAF,3.243906,,,0.802907217,,22.6157570828143
2007,ARG,,,,0.46006591,,
2007,AUS,2.327611,63.560526641668474,12.765,,33.73671,4.381
2007,AUT,2.168556,56.93285005753585,70.344,2.433598435,25.092672,4.858
2007,BEL,1.823056,62.549013329143804,94.929,1.849994631,32.094864,7.458
2007,BGR,8.402534,16.539515690885523,48.474,0.430032604,,6.878
2007,BRA,3.641273,,,,9.6238279,8.076
2007,CAN,2.138384,53.714347210610924,71.325,1.903577511,48.181564,6.152
2007,CHE,0.7323506,71.981143264117,45.939,,31.327906,3.641
2007,CHL,4.407798,4399.976856523739,11.376,0.311431239,,8.434
2007,CHN,4.8,,,1.353215428,,
2007,COL,5.544385,7143.61643886038,,0.183066503,,11.281
2007,CRI,9.357244,2199.8849932516096,,,21.768053,4.49
2007,CYP,,,,,,3.922
2007,CZE,2.853124,261.67626149224975,30.775,1.296699473,13.732669,5.316
2007,DEU,2.298341,55.845735927926945,66.353,2.419182526,24.299988,8.637
2007,DNK,1.693266,263.37259771616164,37.457,2.509208695,30.903458,3.376
2007,E,,,,,,7.39387069080198
2007,EA20,2.2,48.531741992038675,,,,
2007,ESP,2.786798,39.22849620170052,42.274,1.238223938,29.27644,8.232
2007,EST,6.601326,24.262029327742397,7.301,1.058689005,33.146008,4.582
2007,EU19OECD,,,,,,7.487
2007,EU22OECD,,,,,,7.525
2007,EU27,,,,,,7.475
2007,EU27_2020,2.4,42.666394002964076,,1.736434531,,
2007,EUOECD,,,69.2,,,
2007,FIN,2.510666,56.37306180545013,41.088,3.337273481,36.357056,6.827
2007,FRA,1.487998,57.924834481682105,77.26,2.028152442,26.646099,7.994
2007,G20,3.378724,,,,,
2007,G7,2.238562,,,,,5.429
2007,GBR,2.4,49.605735193329195,50.333,1.610902226,35.536041,5.159
2007,GRC,2.895001,32.0494318171094,114.683,0.585129016,22.893152,8.396
2007,HRV,2.875,23.294125646688677,45.014,0.783383977,,9.909
2007,HUN,7.958745,2268.689755091127,71.895,0.954878882,18.048761,7.406
2007,IDN,6.406562,,,,6.8957992,9.428
2007,IND,6.372881,,,,,
2007,IRL,4.885746,57.566657323458045,27.475,1.234083043,32.39011,4.797
2007,ISL,5.051564,3591.729472077184,72.434,2.497455225,30.804794,2.482
2007,ISR,0.466227,88.52390976915589,78.682,4.29072493,43.58707,9.343
2007,ITA,1.829738,47.7596633762955,109.755,1.124205278,13.578119,6.075
2007,JPN,0.0,2286.496482311897,153.206,3.292571953,41.024883,3.882
2007,KOR,2.534574,,25.423,2.758945599,34.814022,3.245
2007,LTU,5.737174,22.331982783973825,19.388,0.801107284,28.931429,4.25
2007,LUX,2.312459,91.81612260390955,17.207,1.57165274,26.512686,4.065
2007,LVA,10.09298,19.720310940049075,14.003,0.581669059,22.18199,6.052
2007,MEX,3.96685,96.16773701310063,41.202,0.380389782,13.55181,3.645
2007,MKD,,,,,,34.935
2007,MLT,,,,,,6.472
2007,NLD,1.613859,60.37824210133835,50.366,1.660631849,30.803967,4.155
2007,NOR,0.7125891,419.5416222765362,55.846,1.557944457,34.198307,2.493
2007,NZL,2.376143,47.8814336942092,25.729,1.157633093,,3.661
2007,OECD,2.550925,46.86087766705355,72.5,2.226455932,27.638786,5.871
2007,OECDE,2.617141,,,,,
2007,OECD_REP,,,53.156,,,6.032
2007,PER,,,,,,4.548
2007,POL,2.491667,38.229279439134025,51.475,0.561025029,18.688519,9.604
2007,PRT,2.453965,29.08626625351225,80.161,1.124170485,13.692096,7.961
2007,ROU,,28.626349115883173,16.691,0.511482387,,6.413
2007,RUS,9.007296,,,1.039122831,,6.002
2007,SAU,4.167827,,,,,
2007,SGP,,,,2.319859587,,
2007,SVK,2.756724,25.44192774640655,36.467,0.447335405,14.438412,11.017
2007,SVN,3.657496,32.81248282159218,30.907,1.432610982,22.227602,4.818
2007,SWE,2.212169,313.69314784575334,48.015,3.241776075,31.328465,6.146
2007,TUR,8.756181,40.671448081410276,,0.682251507,11.290907,10.283
2007,TWN,,,,2.482964339,,
2007,USA,2.852673,62.211377036104906,64.674,2.615158473,40.270866,4.622
2007,ZAF,6.177805,,,0.79364456,,22.3265237641274
2008,ARG,,,,0.470544809,18.973812,
2008,AUS,4.350298,65.0613159653464,15.469,2.236172625,36.149986,4.241
2008,AUT,3.215951,57.55371855291672,75.631,2.586314275,26.191858,4.128
2008,BEL,4.489444,62.85548656577632,102.712,1.936839386,32.310043,6.976
2008,BGR,12.34872,17.150816461574202,36.754,0.447313933,,5.609
2008,BRA,5.678594,,,,10.795494,7.075
2008,CAN,2.370271,54.35222801101513,74.235,1.855777859,48.706802,6.271
2008,CHE,2.426041,73.52620400706886,45.815,2.618634407,33.652287,3.35
2008,CHL,8.716269,4509.126523910152,12.516,0.374915907,,9.278
2008,CHN,5.9,,,1.42330202,,
2008,COL,6.996882,7357.328577128888,,0.195410507,,11.387
2008,CRI,13.42446,2360.6632918975156,,,22.312418,4.781
2008,CYP,,,,,,3.655
2008,CZE,6.358664,263.1316340908114,33.221,1.235199669,14.498895,4.396
2008,DEU,2.628383,56.32754759588545,70.835,2.571915784,25.400061,7.511
2008,DNK,3.416268,264.8101702120092,43.527,2.760812537,31.126369,2.906
2008,E,,,,,,7.36191119370808
2008,EA20,3.4,49.059677499203374,,,,
2008,ESP,4.075343,39.78943817782045,47.561,1.321554306,29.519304,11.255
2008,EST,10.36236,24.1118938929054,8.583,1.251818874,34.176804,5.438
2008,EU19OECD,,,,,,7.551
2008,EU22OECD,,,,,,7.339
2008,EU27,,,,,,7.239
2008,EU27_2020,3.7,43.20530261422572,,1.810222542,,
2008,EUOECD,,,73.96,,,
2008,FIN,4.065952,56.7389160701671,40.325,3.537186813,36.583557,6.344
2008,FRA,2.812862,58.27215181966325,83.411,2.063634623,27.233906,7.419
2008,G20,4.974051,,,,,
2008,G7,3.251177,,,,,5.861
2008,GBR,3.5,49.9330307460709,62.485,1.600358191,35.216167,5.676
2008,GRC,4.152796,32.43651065266602,119.247,0.670855674,23.535585,7.76
2008,HRV,6.091667,23.778160939120127,47.419,0.876364479,,8.53
2008,HUN,6.042512,2387.3250648874,75.793,0.978174095,19.197906,7.818
2008,IDN,10.22667,,,,6.4554873,8.424
2008,IND,8.349267,,,,,4.118
2008,IRL,4.035688,56.6868378097543,47.291,1.391263617,33.902611,6.602
2008,ISL,12.6944,3630.312857113444,115.448,2.440738493,31.591888,3.329
2008,ISR,4.527448,88.38707438839745,79.667,4.247007783,43.980537,7.687
2008,ITA,3.347834,48.30645897840615,112.129,1.155477445,14.357011,6.723
2008,JPN,1.4,2269.723683414545,158.574,3.292238812,42.842262,3.985
2008,KOR,4.673896,,26.282,2.86773325,36.669804,3.162
2008,LTU,10.92589,23.4695493437718,17.125,0.788759423,30.408518,5.826
2008,LUX,3.40188,90.1999855046203,24.694,1.546630394,27.653927,5.06
2008,LVA,15.40232,20.5498273825342,24.833,0.606270815,24.822483,7.739
2008,MEX,5.124982,99.28811760671903,42.326,0.424164826,13.672557,3.904
2008,MKD,,,,,,33.761
2008,MLT,,,,,,5.977
2008,NLD,2.486502,61.698024319111354,62.481,1.612469849,32.167362,3.657
2008,NOR,3.753931,425.8230330951738,54.462,1.545561155,36.004189,2.55
2008,NZL,3.958944,47.15246939894522,27.61,,,4.167
2008,OECD,3.737838,47.629855450691,78.68,2.269433931,28.580724,6.201
2008,OECDE,3.828645,,,,,
2008,OECD_REP,,,58.427,,,6.129
2008,PER,,,,,,4.495
2008,POL,4.216667,39.275266805628526,53.68,0.597185875,19.565832,7.117
2008,PRT,2.588506,29.621555898489024,84.003,1.443347158,14.300379,7.549
