year,country,Inflation_Rate,Unemployment_Variation,Gov_score,Productivity_Variation,Volatility_measures
2000,ALB,,,47.6615336,,
2002,ALB,,,53.080731199999995,,
2003,ALB,,,54.6310229,,
2004,ALB,,,56.665036199999996,,
2005,ALB,,,58.6105394,,
2006,ALB,,,58.9530841,,
2007,ALB,,,58.5662266,,
2008,ALB,,,59.870169,,
2009,ALB,,,59.562827,,
2010,ALB,,,59.0736552,,
2011,ALB,,,56.763853499999996,,
2012,ALB,,,55.846915599999996,,
2013,ALB,,,55.7711841,,
2014,ALB,,,58.5717241,,
2015,ALB,,,58.1856874,,
2016,ALB,,,58.140733999999995,,
2017,ALB,,,58.7177229,,
2018,ALB,,,59.2204451,,
2019,ALB,,,58.5428607,,
2020,ALB,,,57.8200814,,
2021,ALB,,,56.8421631,,
2022,ALB,,,57.2723796,,
2023,ALB,,,56.212260799999996,,
2024,ALB,,,56.6319145,,
1996,ARG,,,64.4264082,,
1998,ARG,,,62.5645301,,
2000,ARG,34.27723,7.561,64.5902122,,0.392498718
2002,ARG,34.27723,7.561,62.677685499999995,,0.347796478
2003,ARG,34.27723,7.561,64.1974319,,0.366816404
2004,ARG,34.27723,7.561,65.2542794,,0.403759771
2005,ARG,34.27723,7.561,65.790841,,0.42074496
2006,ARG,34.27723,7.561,65.76930589999999,,0.452155425
2007,ARG,34.27723,7.561,65.6717505,,0.46006591
2008,ARG,34.27723,7.561,63.9973872,,0.470544809
2009,ARG,34.27723,7.561,63.6438036,,0.58705209
2010,ARG,34.27723,7.561,64.62032169999999,,0.564050123
2011,ARG,34.27723,7.561,62.8378088,,0.569338199
2012,ARG,34.27723,7.561,62.296034999999996,,0.638878111
2013,ARG,34.27723,7.561,61.189000799999995,,0.622336145
2014,ARG,34.27723,7.561,62.192376499999995,,0.592492534
2015,ARG,34.27723,7.561,63.2869611,,0.618540979
2016,ARG,34.27723,7.561,64.7174938,,0.530192017
2017,ARG,34.27723,7.215,67.0355392,,0.556314999
2018,ARG,34.27723,9.132,67.8718554,,0.494350919
2019,ARG,53.54831,8.901,67.315243,,0.478131767
2020,ARG,42.01509,10.962,67.18107069999999,,0.541261874
2021,ARG,48.40938,6.971,66.012587,,0.523601386
2022,ARG,72.43076,6.285,65.5463784,,0.549511085
2023,ARG,133.4889,5.73,65.5332743,,0.601114127
2024,ARG,219.8845,5.73,63.597359,,0.601114127
1996,AUS,,,81.6980446,,
1998,AUS,,,81.72786529999999,,
2000,AUS,4.457435,6.288,82.0517314,52.46407557607455,1.4697558
2002,AUS,2.981575,6.375,82.2533828,55.9999730738054,1.642326874
2003,AUS,2.732596,5.932,82.3347099,58.165624998476545,1.682528373
2004,AUS,2.343255,5.399,81.3567425,59.149428649979455,1.722729872
2005,AUS,2.691832,5.036,84.25420079999999,60.64933816939943,1.859352207
2006,AUS,3.555288,4.785,84.2800468,62.26341780209047,1.995974542
2007,AUS,2.327611,4.381,84.7218673,63.560526641668474,2.1160735835
2008,AUS,4.350298,4.241,84.71497839999999,65.0613159653464,2.236172625
2009,AUS,1.771117,5.565,84.7351745,67.13803611920423,2.2043859015000002
2010,AUS,2.91834,5.214,85.4783984,68.233568328288,2.172599178
2011,AUS,3.30385,5.083,85.64427649999999,70.53024345402625,2.105158998
2012,AUS,1.76278,5.225,86.72621559999999,71.60987515544178,2.0944504375
2013,AUS,2.449889,5.663,83.85988549999999,74.37675177158185,2.083741877
2014,AUS,2.487923,6.078,83.6972559,75.07531319957185,1.978491702
2015,AUS,1.508367,6.055,84.05763739999999,75.36614553406532,1.873241527
2016,AUS,1.276991,5.714,84.6444258,77.43850773897128,1.830705934
2017,AUS,1.948647,5.604,85.2240873,78.0971423905197,1.788170341
2018,AUS,1.911401,5.307,84.3283764,79.53336989658395,1.7890548185
2019,AUS,1.610768,5.164,83.00581299999999,81.631113410856,1.789939296
2020,AUS,0.8469055,6.437,82.5881704,84.7420617349635,1.7240801540000001
2021,AUS,2.86391,5.14,81.9711062,89.57534165792353,1.658221012
2022,AUS,6.594097,3.72,82.7671019,89.66137733404582,1.6701847495000002
2023,AUS,5.597015,3.687,83.3531587,90.9177457454379,1.682148487
