Country,Year,Value
ARG,2000,0.392498718
ARG,2001,0.37976706
ARG,2002,0.347796478
ARG,2003,0.366816404
ARG,2004,0.403759771
ARG,2005,0.42074496
ARG,2006,0.452155425
ARG,2007,0.46006591
ARG,2008,0.470544809
ARG,2009,0.58705209
ARG,2010,0.564050123
ARG,2011,0.569338199
ARG,2012,0.638878111
ARG,2013,0.622336145
ARG,2014,0.592492534
ARG,2015,0.618540979
ARG,2016,0.530192017
ARG,2017,0.556314999
ARG,2018,0.494350919
ARG,2019,0.478131767
ARG,2020,0.541261874
ARG,2021,0.523601386
ARG,2022,0.549511085
ARG,2023,0.601114127
AUS,2000,1.4697558
AUS,2002,1.642326874
AUS,2004,1.722729872
AUS,2006,1.995974542
AUS,2008,2.236172625
AUS,2010,2.172599178
AUS,2011,2.105158998
AUS,2013,2.083741877
AUS,2015,1.873241527
AUS,2017,1.788170341
AUS,2019,1.789939296
AUS,2021,1.658221012
AUS,2023,1.682148487
AUT,2000,1.896676434
AUT,2001,2.00256365
AUT,2002,2.081103678
AUT,2003,2.187012688
AUT,2004,2.182384764
AUT,2005,2.389416343
AUT,2006,2.3760013
AUT,2007,2.433598435
AUT,2008,2.586314275
AUT,2009,2.612791144
AUT,2010,2.743214888
AUT,2011,2.68566517
AUT,2012,2.933717835
AUT,2013,2.979928104
AUT,2014,3.112620516
AUT,2015,3.069176025
AUT,2016,3.133567033
AUT,2017,3.07376468
AUT,2018,3.108281143
AUT,2019,3.14405336
AUT,2020,3.207585201
AUT,2021,3.25565329
AUT,2022,3.168025003
AUT,2023,3.223760924
AUT,2024,3.264939544
BEL,2000,1.936195166
BEL,2001,2.032791651
BEL,2002,1.903247913
BEL,2003,1.841195004
BEL,2004,1.820504973
BEL,2005,1.790606402
BEL,2006,1.822692776
BEL,2007,1.849994631
BEL,2008,1.936839386
BEL,2009,1.991344556
BEL,2010,2.061295708
BEL,2011,2.157385938
BEL,2012,2.27079028
BEL,2013,2.320470036
BEL,2014,2.358574698
BEL,2015,2.43496383
BEL,2016,2.532907194
BEL,2017,2.676542239
BEL,2018,2.863654803
BEL,2019,3.151540041
BEL,2020,3.368232385
BEL,2021,3.40589277
BEL,2022,3.209599547
BEL,2023,3.238811512
BEL,2024,3.364457807
BGR,2000,0.495166557
BGR,2001,0.44709199
BGR,2002,0.464728458
BGR,2003,0.472215788
BGR,2004,0.470858963
BGR,2005,0.442692936
BGR,2006,0.442161752
BGR,2007,0.430032604
BGR,2008,0.447313933
BGR,2009,0.493376294
BGR,2010,0.56299308
BGR,2011,0.529502659
BGR,2012,0.600386037
BGR,2013,0.634237435
BGR,2014,0.790073995
BGR,2015,0.949473976
BGR,2016,0.770087384
BGR,2017,0.740370114
BGR,2018,0.756811084
BGR,2019,0.837301749
BGR,2020,0.84625463
BGR,2021,0.769693256
BGR,2022,0.751768753
BGR,2023,0.793774554
BGR,2024,0.768221647
CAN,2000,1.858470207
CAN,2001,2.021156042
CAN,2002,1.971694588
CAN,2003,1.967807056
CAN,2004,1.997333295
CAN,2005,1.971243467
CAN,2006,1.94299895
CAN,2007,1.903577511
CAN,2008,1.855777859
CAN,2009,1.917415394
CAN,2010,1.825037454
CAN,2011,1.787140592
CAN,2012,1.773039748
CAN,2013,1.706245298
CAN,2014,1.714824517
CAN,2015,1.693594535
CAN,2016,1.729024677
CAN,2017,1.687018047
CAN,2018,1.737193465
CAN,2019,1.755776696
CAN,2020,1.934135455
CAN,2021,1.870638981
CAN,2022,1.844834732
CAN,2023,1.935484306
CAN,2024,1.792668031
CAN,2025,1.805384057
CHE,2000,2.238910375
CHE,2004,2.575659745
CHE,2008,2.618634407
CHE,2012,2.827352426
CHE,2015,2.993660564
CHE,2017,2.99730447
CHE,2019,3.085606846
CHE,2021,3.150469561
CHE,2023,3.103760271
CHL,2007,0.311431239
CHL,2008,0.374915907
CHL,2009,0.354027372
CHL,2010,0.33164827
CHL,2011,0.352878931
CHL,2012,0.362132102
CHL,2013,0.390304812
CHL,2014,0.37667734
CHL,2015,0.382960363
CHL,2016,0.371034005
CHL,2017,0.356788931
CHL,2018,0.369163593
CHL,2019,0.342432533
CHL,2020,0.335248332
CHL,2021,0.360631428
CHL,2022,0.39204771
CHN,2000,0.884095723
CHN,2001,0.929480292
CHN,2002,1.044181462
CHN,2003,1.104649035
CHN,2004,1.197317144
CHN,2005,1.290087595
CHN,2006,1.349230923
CHN,2007,1.353215428
CHN,2008,1.42330202
CHN,2009,1.636601775
CHN,2010,1.684560861
CHN,2011,1.752446261
CHN,2012,1.880951529
CHN,2013,1.962460673
CHN,2014,1.984746732
CHN,2015,2.017032406
